ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Total Population (N),Total Population Without Deahts (N Alive)
ESP,Europe,Spain,2020-01-28,47332614.0,0.0,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-01-29,47332614.0,0.0,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-01-30,47332614.0,0.0,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-01-31,47332614.0,0.0,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-01,47332613.85714286,0.14285714285714285,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-02,47332613.71428572,0.2857142857142857,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-03,47332613.57142858,0.42857142857142855,0.0,0.0,47332614.00000001,47332614.00000001
ESP,Europe,Spain,2020-02-04,47332613.42857143,0.5714285714285714,0.0,0.0,47332614.00000001,47332614.00000001
ESP,Europe,Spain,2020-02-05,47332613.28571428,0.7142857142857143,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-06,47332613.14285714,0.8571428571428571,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-07,47332613.0,1.0,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-08,47332613.0,1.0,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-09,47332612.85714286,1.1428571428571428,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-10,47332612.71428572,1.2857142857142858,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-11,47332612.57142858,1.4285714285714286,0.0,0.0,47332614.00000001,47332614.00000001
ESP,Europe,Spain,2020-02-12,47332612.42857143,1.5714285714285714,0.0,0.0,47332614.00000001,47332614.00000001
ESP,Europe,Spain,2020-02-13,47332612.28571428,1.7142857142857142,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-14,47332612.14285714,1.8571428571428568,0.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-15,47332612.0,1.8571428571428568,0.14285714285714285,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-16,47332612.0,1.7142857142857142,0.2857142857142857,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-17,47332612.0,1.5714285714285714,0.42857142857142855,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-18,47332612.0,1.4285714285714286,0.5714285714285714,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-19,47332612.0,1.2857142857142858,0.7142857142857143,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-20,47332612.0,1.1428571428571428,0.8571428571428571,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-21,47332612.0,1.0,1.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-22,47332612.0,1.0,1.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-23,47332612.0,0.8571428571428571,1.1428571428571428,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-24,47332612.0,0.7142857142857143,1.2857142857142858,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-25,47332611.42857143,1.1428571428571428,1.4285714285714286,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-26,47332609.85714285,2.571428571428572,1.5714285714285714,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-27,47332608.0,4.285714285714286,1.7142857142857142,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-28,47332603.71428572,8.428571428571429,1.8571428571428568,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-02-29,47332597.57142858,14.428571428571427,2.0,0.0,47332614.00000001,47332614.00000001
ESP,Europe,Spain,2020-03-01,47332585.85714286,26.142857142857146,2.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-03-02,47332569.0,43.0,2.0,0.0,47332614.0,47332614.0
ESP,Europe,Spain,2020-03-03,47332546.28571428,65.57142857142857,2.0,0.14285714285714285,47332614.0,47332613.85714286
ESP,Europe,Spain,2020-03-04,47332516.42857143,95.14285714285714,2.0,0.42857142857142855,47332614.0,47332613.571428575
ESP,Europe,Spain,2020-03-05,47332481.57142857,129.57142857142858,2.0,0.8571428571428571,47332614.0,47332613.14285714
ESP,Europe,Spain,2020-03-06,47332429.0,181.42857142857144,2.0,1.5714285714285714,47332614.0,47332612.428571425
ESP,Europe,Spain,2020-03-07,47332364.0,245.0,2.0,3.0,47332614.0,47332611.0
ESP,Europe,Spain,2020-03-08,47332279.85714286,326.7142857142857,2.0,5.428571428571429,47332614.0,47332608.571428575
ESP,Europe,Spain,2020-03-09,47332143.71428572,458.8571428571428,2.0,9.428571428571429,47332614.0,47332604.571428575
