ISO_code,Continent,Country/Region,Date,Total Confirmed,New Confirmed,New Confirmed Smooth (7 days),Total Confirmed Fixed (sum New Confirmed),Total Alive Confirmed Fixed (sum New Confirmed - Total Deaths),Accumulated Alive Confirmed in 14 days,Accumulated Alive Confirmed Smooth in 14 days
DEU,Europe,Germany,2020-01-28,4,3,0.5714285714285714,4,4,4,0.7142857142857143
DEU,Europe,Germany,2020-01-29,4,0,0.5714285714285714,4,4,4,1.2857142857142858
DEU,Europe,Germany,2020-01-30,4,0,0.5714285714285714,4,4,4,1.8571428571428572
DEU,Europe,Germany,2020-01-31,5,1,0.7142857142857143,5,5,5,2.5714285714285716
DEU,Europe,Germany,2020-02-01,8,3,1.1428571428571428,8,8,8,3.7142857142857144
DEU,Europe,Germany,2020-02-02,10,2,1.4285714285714286,10,10,10,5.142857142857143
DEU,Europe,Germany,2020-02-03,12,2,1.5714285714285714,12,12,12,6.714285714285714
DEU,Europe,Germany,2020-02-04,12,0,1.1428571428571428,12,12,12,7.857142857142857
DEU,Europe,Germany,2020-02-05,12,0,1.1428571428571428,12,12,12,9.0
DEU,Europe,Germany,2020-02-06,12,0,1.1428571428571428,12,12,12,10.142857142857142
DEU,Europe,Germany,2020-02-07,13,1,1.1428571428571428,13,13,13,11.285714285714286
DEU,Europe,Germany,2020-02-08,13,0,0.7142857142857143,13,13,13,12.0
DEU,Europe,Germany,2020-02-09,14,1,0.5714285714285714,14,14,14,12.571428571428571
DEU,Europe,Germany,2020-02-10,14,0,0.2857142857142857,14,14,14,12.857142857142858
DEU,Europe,Germany,2020-02-11,16,2,0.5714285714285714,16,16,16,13.428571428571429
DEU,Europe,Germany,2020-02-12,16,0,0.5714285714285714,16,16,16,14.0
DEU,Europe,Germany,2020-02-13,16,0,0.5714285714285714,16,16,15,14.428571428571429
DEU,Europe,Germany,2020-02-14,16,0,0.42857142857142855,16,16,15,14.714285714285714
DEU,Europe,Germany,2020-02-15,16,0,0.42857142857142855,16,16,15,15.0
DEU,Europe,Germany,2020-02-16,16,0,0.2857142857142857,16,16,15,15.142857142857142
DEU,Europe,Germany,2020-02-17,16,0,0.2857142857142857,16,16,15,15.285714285714286
DEU,Europe,Germany,2020-02-18,16,0,0.0,16,16,4,13.571428571428571
DEU,Europe,Germany,2020-02-19,16,0,0.0,16,16,4,11.857142857142858
DEU,Europe,Germany,2020-02-20,16,0,0.0,16,16,4,10.285714285714286
