ISO_code,Continent,Country/Region,Date,Total Confirmed,New Confirmed,New Confirmed Smooth (7 days),Total Confirmed Fixed (sum New Confirmed),Total Alive Confirmed Fixed (sum New Confirmed - Total Deaths),Accumulated Alive Confirmed in 14 days,Accumulated Alive Confirmed Smooth in 14 days
KOR,Asia,South Korea,2020-01-28,4,0,0.5714285714285714,4,4,4,2.4285714285714284
KOR,Asia,South Korea,2020-01-29,4,0,0.42857142857142855,4,4,4,2.857142857142857
KOR,Asia,South Korea,2020-01-30,4,0,0.42857142857142855,4,4,4,3.2857142857142856
KOR,Asia,South Korea,2020-01-31,11,7,1.2857142857142858,11,11,11,4.571428571428571
KOR,Asia,South Korea,2020-02-01,12,1,1.4285714285714286,12,12,12,6.0
KOR,Asia,South Korea,2020-02-02,15,3,1.7142857142857142,15,15,15,7.714285714285714
KOR,Asia,South Korea,2020-02-03,15,0,1.5714285714285714,15,15,15,9.285714285714286
KOR,Asia,South Korea,2020-02-04,16,1,1.7142857142857142,16,16,16,11.0
KOR,Asia,South Korea,2020-02-05,19,3,2.142857142857143,19,19,18,13.0
KOR,Asia,South Korea,2020-02-06,23,4,2.7142857142857144,23,23,22,15.571428571428571
KOR,Asia,South Korea,2020-02-07,24,1,1.8571428571428572,24,24,22,17.142857142857142
KOR,Asia,South Korea,2020-02-08,24,0,1.7142857142857142,24,24,22,18.571428571428573
KOR,Asia,South Korea,2020-02-09,25,1,1.4285714285714286,25,25,22,19.571428571428573
KOR,Asia,South Korea,2020-02-10,27,2,1.7142857142857142,27,27,23,20.714285714285715
KOR,Asia,South Korea,2020-02-11,28,1,1.7142857142857142,28,28,24,21.857142857142858
KOR,Asia,South Korea,2020-02-12,28,0,1.2857142857142858,28,28,24,22.714285714285715
KOR,Asia,South Korea,2020-02-13,28,0,0.7142857142857143,28,28,24,23.0
KOR,Asia,South Korea,2020-02-14,28,0,0.5714285714285714,28,28,17,22.285714285714285
KOR,Asia,South Korea,2020-02-15,28,0,0.5714285714285714,28,28,16,21.428571428571427
KOR,Asia,South Korea,2020-02-16,29,1,0.5714285714285714,29,29,14,20.285714285714285
KOR,Asia,South Korea,2020-02-17,30,1,0.42857142857142855,30,30,15,19.142857142857142
KOR,Asia,South Korea,2020-02-18,31,1,0.42857142857142855,31,31,15,17.857142857142858
KOR,Asia,South Korea,2020-02-19,31,0,0.42857142857142855,31,31,12,16.142857142857142
KOR,Asia,South Korea,2020-02-20,104,73,10.857142857142858,104,103,80,24.142857142857142
KOR,Asia,South Korea,2020-02-21,204,100,25.142857142857142,204,202,178,47.142857142857146
KOR,Asia,South Korea,2020-02-22,433,229,57.857142857142854,433,431,407,103.0
KOR,Asia,South Korea,2020-02-23,602,169,81.85714285714286,602,596,571,182.57142857142858
KOR,Asia,South Korea,2020-02-24,833,231,114.71428571428571,833,825,798,294.42857142857144
KOR,Asia,South Korea,2020-02-25,977,144,135.14285714285714,977,967,939,426.42857142857144
KOR,Asia,South Korea,2020-02-26,1261,284,175.71428571428572,1261,1249,1221,599.1428571428571
KOR,Asia,South Korea,2020-02-27,1766,505,237.42857142857142,1766,1753,1725,834.1428571428571
KOR,Asia,South Korea,2020-02-28,2337,571,304.7142857142857,2337,2324,2296,1136.7142857142858
KOR,Asia,South Korea,2020-02-29,3150,813,388.14285714285717,3150,3134,3106,1522.2857142857142
KOR,Asia,South Korea,2020-03-01,3736,586,447.7142857142857,3736,3719,3690,1967.857142857143
KOR,Asia,South Korea,2020-03-02,4335,599,500.2857142857143,4335,4307,4277,2464.8571428571427
KOR,Asia,South Korea,2020-03-03,5186,851,601.2857142857143,5186,5158,5127,3063.1428571428573
KOR,Asia,South Korea,2020-03-04,5621,435,622.8571428571429,5621,5586,5555,3682.285714285714
KOR,Asia,South Korea,2020-03-05,6088,467,617.4285714285714,6088,6053,5950,4285.857142857143
KOR,Asia,South Korea,2020-03-06,6593,505,608.0,6593,6551,6349,4864.857142857143
KOR,Asia,South Korea,2020-03-07,7041,448,555.8571428571429,7041,6997,6566,5359.142857142857
KOR,Asia,South Korea,2020-03-08,7314,273,511.14285714285717,7314,7264,6668,5784.571428571428
KOR,Asia,South Korea,2020-03-09,7478,164,449.0,7478,7425,6600,6116.428571428572
KOR,Asia,South Korea,2020-03-10,7513,35,332.42857142857144,7513,7459,6492,6311.428571428572
KOR,Asia,South Korea,2020-03-11,7755,242,304.85714285714283,7755,7695,6446,6438.714285714285
KOR,Asia,South Korea,2020-03-12,7869,114,254.42857142857142,7869,7803,6050,6453.0
KOR,Asia,South Korea,2020-03-13,7979,110,198.0,7979,7913,5589,6344.428571428572
KOR,Asia,South Korea,2020-03-14,8086,107,149.28571428571428,8086,8014,4880,6103.571428571428
KOR,Asia,South Korea,2020-03-15,8162,76,121.14285714285714,8162,8087,4368,5775.0
KOR,Asia,South Korea,2020-03-16,8236,74,108.28571428571429,8236,8161,3854,5382.714285714285
KOR,Asia,South Korea,2020-03-17,8320,84,115.28571428571429,8320,8239,3081,4895.428571428572
KOR,Asia,South Korea,2020-03-18,8413,93,94.0,8413,8329,2743,4366.428571428572
KOR,Asia,South Korea,2020-03-19,8565,152,99.42857142857143,8565,8474,2421,3848.0
KOR,Asia,South Korea,2020-03-20,8652,87,96.14285714285714,8652,8558,2007,3336.285714285714
