ISO_code,Continent,Country/Region,Date,Total Recovered,Total Recovered Smooth (7 days)
DEU,Europe,Germany,2020-01-28,0,0.0
DEU,Europe,Germany,2020-01-29,0,0.0
DEU,Europe,Germany,2020-01-30,0,0.0
DEU,Europe,Germany,2020-01-31,0,0.0
DEU,Europe,Germany,2020-02-01,0,0.0
DEU,Europe,Germany,2020-02-02,0,0.0
DEU,Europe,Germany,2020-02-03,0,0.0
DEU,Europe,Germany,2020-02-04,0,0.0
DEU,Europe,Germany,2020-02-05,0,0.0
DEU,Europe,Germany,2020-02-06,0,0.0
DEU,Europe,Germany,2020-02-07,0,0.0
DEU,Europe,Germany,2020-02-08,0,0.0
DEU,Europe,Germany,2020-02-09,0,0.0
DEU,Europe,Germany,2020-02-10,1,0.14285714285714285
DEU,Europe,Germany,2020-02-11,4,0.7142857142857143
DEU,Europe,Germany,2020-02-12,4,1.2857142857142858
DEU,Europe,Germany,2020-02-13,4,1.8571428571428572
DEU,Europe,Germany,2020-02-14,5,2.5714285714285716
DEU,Europe,Germany,2020-02-15,8,3.7142857142857144
DEU,Europe,Germany,2020-02-16,10,5.142857142857143
DEU,Europe,Germany,2020-02-17,12,6.714285714285714
DEU,Europe,Germany,2020-02-18,12,7.857142857142857
DEU,Europe,Germany,2020-02-19,12,9.0
DEU,Europe,Germany,2020-02-20,12,10.142857142857142
DEU,Europe,Germany,2020-02-21,13,11.285714285714286
DEU,Europe,Germany,2020-02-22,13,12.0
DEU,Europe,Germany,2020-02-23,14,12.571428571428571
DEU,Europe,Germany,2020-02-24,14,12.857142857142858
DEU,Europe,Germany,2020-02-25,16,13.428571428571429
DEU,Europe,Germany,2020-02-26,16,14.0
DEU,Europe,Germany,2020-02-27,16,14.571428571428571
DEU,Europe,Germany,2020-02-28,16,15.0
DEU,Europe,Germany,2020-02-29,16,15.428571428571429
DEU,Europe,Germany,2020-03-01,16,15.714285714285714
DEU,Europe,Germany,2020-03-02,16,16.0
DEU,Europe,Germany,2020-03-03,16,16.0
DEU,Europe,Germany,2020-03-04,16,16.0
DEU,Europe,Germany,2020-03-05,16,16.0
DEU,Europe,Germany,2020-03-06,16,16.0
DEU,Europe,Germany,2020-03-07,16,16.0
DEU,Europe,Germany,2020-03-08,16,16.0
DEU,Europe,Germany,2020-03-09,16,16.0
DEU,Europe,Germany,2020-03-10,17,16.142857142857142
DEU,Europe,Germany,2020-03-11,27,17.714285714285715
DEU,Europe,Germany,2020-03-12,46,22.0
DEU,Europe,Germany,2020-03-13,48,26.571428571428573
DEU,Europe,Germany,2020-03-14,79,35.57142857142857
DEU,Europe,Germany,2020-03-15,130,51.857142857142854
DEU,Europe,Germany,2020-03-16,159,72.28571428571429
DEU,Europe,Germany,2020-03-17,196,97.85714285714286
DEU,Europe,Germany,2020-03-18,262,131.42857142857142
DEU,Europe,Germany,2020-03-19,482,193.71428571428572
DEU,Europe,Germany,2020-03-20,670,282.57142857142856
DEU,Europe,Germany,2020-03-21,799,385.42857142857144
DEU,Europe,Germany,2020-03-22,1040,515.4285714285714
DEU,Europe,Germany,2020-03-23,1174,660.4285714285714
DEU,Europe,Germany,2020-03-24,1455,840.2857142857143
DEU,Europe,Germany,2020-03-25,1905,1075.0
DEU,Europe,Germany,2020-03-26,2075,1302.5714285714287
DEU,Europe,Germany,2020-03-27,3668,1730.857142857143
DEU,Europe,Germany,2020-03-28,4576,2270.4285714285716
DEU,Europe,Germany,2020-03-29,5784,2948.1428571428573
DEU,Europe,Germany,2020-03-30,7255,3816.8571428571427
DEU,Europe,Germany,2020-03-31,9233,4928.0
DEU,Europe,Germany,2020-04-01,12299,6412.857142857143
DEU,Europe,Germany,2020-04-02,15276,8298.714285714286
DEU,Europe,Germany,2020-04-03,19781,10600.57142857143
DEU,Europe,Germany,2020-04-04,22129,13108.142857142857
DEU,Europe,Germany,2020-04-05,24779,15821.714285714286
DEU,Europe,Germany,2020-04-06,28933,18918.571428571428
DEU,Europe,Germany,2020-04-07,32829,22289.428571428572
DEU,Europe,Germany,2020-04-08,37117,25834.85714285714
DEU,Europe,Germany,2020-04-09,43671,29891.285714285714
DEU,Europe,Germany,2020-04-10,50529,34283.857142857145
DEU,Europe,Germany,2020-04-11,57262,39302.857142857145
DEU,Europe,Germany,2020-04-12,61562,44557.57142857143
DEU,Europe,Germany,2020-04-13,66240,49887.142857142855
DEU,Europe,Germany,2020-04-14,71033,55344.857142857145
DEU,Europe,Germany,2020-04-15,76952,61035.57142857143
DEU,Europe,Germany,2020-04-16,83687,66752.14285714286
DEU,Europe,Germany,2020-04-17,89884,72374.28571428571
DEU,Europe,Germany,2020-04-18,94648,77715.14285714286
DEU,Europe,Germany,2020-04-19,98539,82997.57142857143
DEU,Europe,Germany,2020-04-20,101564,88043.85714285714
DEU,Europe,Germany,2020-04-21,105647,92988.71428571429
DEU,Europe,Germany,2020-04-22,110947,97845.14285714286
DEU,Europe,Germany,2020-04-23,115574,102400.42857142857
DEU,Europe,Germany,2020-04-24,119404,106617.57142857143
DEU,Europe,Germany,2020-04-25,122141,110545.14285714286
DEU,Europe,Germany,2020-04-26,124801,114296.85714285714
DEU,Europe,Germany,2020-04-27,126847,117908.71428571429
