ISO_code,Continent,Country/Region,Date,Total Recovered,Total Recovered Smooth (7 days)
KOR,Asia,South Korea,2020-01-28,0,0.0
KOR,Asia,South Korea,2020-01-29,0,0.0
KOR,Asia,South Korea,2020-01-30,0,0.0
KOR,Asia,South Korea,2020-01-31,0,0.0
KOR,Asia,South Korea,2020-02-01,0,0.0
KOR,Asia,South Korea,2020-02-02,0,0.0
KOR,Asia,South Korea,2020-02-03,0,0.0
KOR,Asia,South Korea,2020-02-04,0,0.0
KOR,Asia,South Korea,2020-02-05,0,0.0
KOR,Asia,South Korea,2020-02-06,0,0.0
KOR,Asia,South Korea,2020-02-07,1,0.14285714285714285
KOR,Asia,South Korea,2020-02-08,1,0.2857142857142857
KOR,Asia,South Korea,2020-02-09,3,0.7142857142857143
KOR,Asia,South Korea,2020-02-10,3,1.1428571428571428
KOR,Asia,South Korea,2020-02-11,3,1.5714285714285714
KOR,Asia,South Korea,2020-02-12,7,2.5714285714285716
KOR,Asia,South Korea,2020-02-13,7,3.5714285714285716
KOR,Asia,South Korea,2020-02-14,7,4.428571428571429
KOR,Asia,South Korea,2020-02-15,9,5.571428571428571
KOR,Asia,South Korea,2020-02-16,9,6.428571428571429
KOR,Asia,South Korea,2020-02-17,10,7.428571428571429
KOR,Asia,South Korea,2020-02-18,12,8.714285714285714
KOR,Asia,South Korea,2020-02-19,12,9.428571428571429
KOR,Asia,South Korea,2020-02-20,16,10.714285714285714
KOR,Asia,South Korea,2020-02-21,16,12.0
KOR,Asia,South Korea,2020-02-22,16,13.0
KOR,Asia,South Korea,2020-02-23,18,14.285714285714286
KOR,Asia,South Korea,2020-02-24,18,15.428571428571429
KOR,Asia,South Korea,2020-02-25,22,16.857142857142858
KOR,Asia,South Korea,2020-02-26,22,18.285714285714285
KOR,Asia,South Korea,2020-02-27,22,19.142857142857142
KOR,Asia,South Korea,2020-02-28,22,20.0
KOR,Asia,South Korea,2020-02-29,27,21.571428571428573
KOR,Asia,South Korea,2020-03-01,30,23.285714285714285
KOR,Asia,South Korea,2020-03-02,30,25.0
KOR,Asia,South Korea,2020-03-03,30,26.142857142857142
KOR,Asia,South Korea,2020-03-04,41,28.857142857142858
KOR,Asia,South Korea,2020-03-05,41,31.571428571428573
KOR,Asia,South Korea,2020-03-06,135,47.714285714285715
KOR,Asia,South Korea,2020-03-07,135,63.142857142857146
KOR,Asia,South Korea,2020-03-08,118,75.71428571428571
KOR,Asia,South Korea,2020-03-09,118,88.28571428571429
KOR,Asia,South Korea,2020-03-10,247,119.28571428571429
KOR,Asia,South Korea,2020-03-11,288,154.57142857142858
KOR,Asia,South Korea,2020-03-12,333,196.28571428571428
KOR,Asia,South Korea,2020-03-13,510,249.85714285714286
