ISO_code,Continent,Country/Region,Date,Total Recovered,Total Recovered Smooth (7 days)
DEU,Europe,Germany,2020-01-28,0,0.0
DEU,Europe,Germany,2020-01-29,0,0.0
DEU,Europe,Germany,2020-01-30,0,0.0
DEU,Europe,Germany,2020-01-31,0,0.0
DEU,Europe,Germany,2020-02-01,0,0.0
DEU,Europe,Germany,2020-02-02,0,0.0
DEU,Europe,Germany,2020-02-03,0,0.0
DEU,Europe,Germany,2020-02-04,0,0.0
DEU,Europe,Germany,2020-02-05,0,0.0
DEU,Europe,Germany,2020-02-06,0,0.0
DEU,Europe,Germany,2020-02-07,0,0.0
DEU,Europe,Germany,2020-02-08,0,0.0
DEU,Europe,Germany,2020-02-09,0,0.0
DEU,Europe,Germany,2020-02-10,0,0.0
DEU,Europe,Germany,2020-02-11,0,0.0
DEU,Europe,Germany,2020-02-12,0,0.0
DEU,Europe,Germany,2020-02-13,1,0.14285714285714285
DEU,Europe,Germany,2020-02-14,1,0.2857142857142857
DEU,Europe,Germany,2020-02-15,1,0.42857142857142855
DEU,Europe,Germany,2020-02-16,1,0.5714285714285714
DEU,Europe,Germany,2020-02-17,1,0.7142857142857143
DEU,Europe,Germany,2020-02-18,12,2.4285714285714284
DEU,Europe,Germany,2020-02-19,12,4.142857142857143
DEU,Europe,Germany,2020-02-20,12,5.714285714285714
DEU,Europe,Germany,2020-02-21,14,7.571428571428571
DEU,Europe,Germany,2020-02-22,14,9.428571428571429
DEU,Europe,Germany,2020-02-23,14,11.285714285714286
DEU,Europe,Germany,2020-02-24,14,13.142857142857142
DEU,Europe,Germany,2020-02-25,14,13.428571428571429
DEU,Europe,Germany,2020-02-26,15,13.857142857142858
DEU,Europe,Germany,2020-02-27,16,14.428571428571429
DEU,Europe,Germany,2020-02-28,16,14.714285714285714
DEU,Europe,Germany,2020-02-29,16,15.0
DEU,Europe,Germany,2020-03-01,16,15.285714285714286
DEU,Europe,Germany,2020-03-02,16,15.571428571428571
DEU,Europe,Germany,2020-03-03,16,15.857142857142858
DEU,Europe,Germany,2020-03-04,16,16.0
DEU,Europe,Germany,2020-03-05,16,16.0
DEU,Europe,Germany,2020-03-06,17,16.142857142857142
DEU,Europe,Germany,2020-03-07,18,16.428571428571427
DEU,Europe,Germany,2020-03-08,18,16.714285714285715
DEU,Europe,Germany,2020-03-09,18,17.0
DEU,Europe,Germany,2020-03-10,18,17.285714285714285
DEU,Europe,Germany,2020-03-11,25,18.571428571428573
DEU,Europe,Germany,2020-03-12,25,19.857142857142858
DEU,Europe,Germany,2020-03-13,46,24.0
DEU,Europe,Germany,2020-03-14,46,28.0
DEU,Europe,Germany,2020-03-15,46,32.0
DEU,Europe,Germany,2020-03-16,67,39.0
DEU,Europe,Germany,2020-03-17,67,46.0
DEU,Europe,Germany,2020-03-18,105,57.42857142857143
DEU,Europe,Germany,2020-03-19,113,70.0
DEU,Europe,Germany,2020-03-20,180,89.14285714285714
DEU,Europe,Germany,2020-03-21,233,115.85714285714286
DEU,Europe,Germany,2020-03-22,266,147.28571428571428
DEU,Europe,Germany,2020-03-23,266,175.71428571428572
DEU,Europe,Germany,2020-03-24,3243,629.4285714285714
DEU,Europe,Germany,2020-03-25,3547,1121.142857142857
DEU,Europe,Germany,2020-03-26,5673,1915.4285714285713
DEU,Europe,Germany,2020-03-27,6658,2840.8571428571427
DEU,Europe,Germany,2020-03-28,8481,4019.1428571428573
DEU,Europe,Germany,2020-03-29,9211,5297.0
DEU,Europe,Germany,2020-03-30,13500,7187.571428571428
DEU,Europe,Germany,2020-03-31,16100,9024.285714285714
DEU,Europe,Germany,2020-04-01,18700,11189.0
DEU,Europe,Germany,2020-04-02,22440,13584.285714285714
DEU,Europe,Germany,2020-04-03,24575,16143.857142857143
DEU,Europe,Germany,2020-04-04,26400,18703.714285714286
DEU,Europe,Germany,2020-04-05,28700,21487.85714285714
DEU,Europe,Germany,2020-04-06,28700,23659.285714285714
DEU,Europe,Germany,2020-04-07,36081,26513.714285714286
DEU,Europe,Germany,2020-04-08,46300,30456.571428571428
DEU,Europe,Germany,2020-04-09,52407,34737.57142857143
DEU,Europe,Germany,2020-04-10,53913,38928.71428571428
DEU,Europe,Germany,2020-04-11,57400,43357.28571428572
DEU,Europe,Germany,2020-04-12,60300,47871.57142857143
DEU,Europe,Germany,2020-04-13,64300,52957.28571428572
DEU,Europe,Germany,2020-04-14,68200,57545.71428571428
DEU,Europe,Germany,2020-04-15,72600,61302.857142857145
DEU,Europe,Germany,2020-04-16,77000,64816.142857142855
DEU,Europe,Germany,2020-04-17,83114,68987.71428571429
DEU,Europe,Germany,2020-04-18,85400,72987.71428571429
DEU,Europe,Germany,2020-04-19,88000,76944.85714285714
DEU,Europe,Germany,2020-04-20,91500,80830.57142857143
DEU,Europe,Germany,2020-04-21,95200,84687.71428571429
DEU,Europe,Germany,2020-04-22,99400,88516.28571428571
DEU,Europe,Germany,2020-04-23,103300,92273.42857142857
DEU,Europe,Germany,2020-04-24,109800,96085.71428571429
DEU,Europe,Germany,2020-04-25,109800,99571.42857142857
DEU,Europe,Germany,2020-04-26,112000,103000.0
DEU,Europe,Germany,2020-04-27,114500,106285.71428571429
