ISO_code,Continent,Country/Region,Date,Total Recovered,Total Recovered Smooth (7 days)
KOR,Asia,South Korea,2020-01-28,0,0.0
KOR,Asia,South Korea,2020-01-29,0,0.0
KOR,Asia,South Korea,2020-01-30,0,0.0
KOR,Asia,South Korea,2020-01-31,0,0.0
KOR,Asia,South Korea,2020-02-01,0,0.0
KOR,Asia,South Korea,2020-02-02,0,0.0
KOR,Asia,South Korea,2020-02-03,0,0.0
KOR,Asia,South Korea,2020-02-04,0,0.0
KOR,Asia,South Korea,2020-02-05,0,0.0
KOR,Asia,South Korea,2020-02-06,0,0.0
KOR,Asia,South Korea,2020-02-07,1,0.14285714285714285
KOR,Asia,South Korea,2020-02-08,1,0.2857142857142857
KOR,Asia,South Korea,2020-02-09,2,0.5714285714285714
KOR,Asia,South Korea,2020-02-10,3,1.0
KOR,Asia,South Korea,2020-02-11,3,1.4285714285714286
KOR,Asia,South Korea,2020-02-12,3,1.8571428571428572
KOR,Asia,South Korea,2020-02-13,3,2.2857142857142856
KOR,Asia,South Korea,2020-02-14,10,3.5714285714285716
KOR,Asia,South Korea,2020-02-15,11,5.0
KOR,Asia,South Korea,2020-02-16,14,6.714285714285714
KOR,Asia,South Korea,2020-02-17,14,8.285714285714286
KOR,Asia,South Korea,2020-02-18,15,10.0
KOR,Asia,South Korea,2020-02-19,18,12.142857142857142
KOR,Asia,South Korea,2020-02-20,22,14.857142857142858
KOR,Asia,South Korea,2020-02-21,23,16.714285714285715
KOR,Asia,South Korea,2020-02-22,23,18.428571428571427
KOR,Asia,South Korea,2020-02-23,24,19.857142857142858
KOR,Asia,South Korea,2020-02-24,26,21.571428571428573
KOR,Asia,South Korea,2020-02-25,27,23.285714285714285
KOR,Asia,South Korea,2020-02-26,27,24.571428571428573
KOR,Asia,South Korea,2020-02-27,27,25.285714285714285
KOR,Asia,South Korea,2020-02-28,27,25.857142857142858
KOR,Asia,South Korea,2020-02-29,27,26.428571428571427
KOR,Asia,South Korea,2020-03-01,28,27.0
KOR,Asia,South Korea,2020-03-02,29,27.428571428571427
KOR,Asia,South Korea,2020-03-03,30,27.857142857142858
KOR,Asia,South Korea,2020-03-04,30,28.285714285714285
KOR,Asia,South Korea,2020-03-05,102,39.0
KOR,Asia,South Korea,2020-03-06,201,63.857142857142854
KOR,Asia,South Korea,2020-03-07,430,121.42857142857143
KOR,Asia,South Korea,2020-03-08,595,202.42857142857142
KOR,Asia,South Korea,2020-03-09,824,316.0
KOR,Asia,South Korea,2020-03-10,966,449.7142857142857
KOR,Asia,South Korea,2020-03-11,1248,623.7142857142857
KOR,Asia,South Korea,2020-03-12,1752,859.4285714285714
KOR,Asia,South Korea,2020-03-13,2323,1162.5714285714287
