ISO_code,Continent,Country/Region,Date,Total Confirmed Original,New Confirmed,New Confirmed Smooth (7 days),Total Confirmed Fixed (sum New Confirmed),Total Alive Confirmed Fixed (sum New Confirmed - Total Deaths),Accumulated Alive Confirmed in 14 days,Accumulated Alive Confirmed Smooth in 14 days
ESP,Europe,Spain,2020-01-28,0,0,0.0,0,0,0,0.0
ESP,Europe,Spain,2020-01-29,0,0,0.0,0,0,0,0.0
ESP,Europe,Spain,2020-01-30,0,0,0.0,0,0,0,0.0
ESP,Europe,Spain,2020-01-31,0,0,0.0,0,0,0,0.0
ESP,Europe,Spain,2020-02-01,1,1,0.14285714285714285,1,1,1,0.14285714285714285
ESP,Europe,Spain,2020-02-02,1,0,0.14285714285714285,1,1,1,0.2857142857142857
ESP,Europe,Spain,2020-02-03,1,0,0.14285714285714285,1,1,1,0.42857142857142855
ESP,Europe,Spain,2020-02-04,1,0,0.14285714285714285,1,1,1,0.5714285714285714
ESP,Europe,Spain,2020-02-05,1,0,0.14285714285714285,1,1,1,0.7142857142857143
ESP,Europe,Spain,2020-02-06,1,0,0.14285714285714285,1,1,1,0.8571428571428571
ESP,Europe,Spain,2020-02-07,1,0,0.14285714285714285,1,1,1,1.0
ESP,Europe,Spain,2020-02-08,1,0,0.0,1,1,1,1.0
ESP,Europe,Spain,2020-02-09,2,1,0.14285714285714285,2,2,2,1.1428571428571428
ESP,Europe,Spain,2020-02-10,2,0,0.14285714285714285,2,2,2,1.2857142857142858
ESP,Europe,Spain,2020-02-11,2,0,0.14285714285714285,2,2,2,1.4285714285714286
ESP,Europe,Spain,2020-02-12,2,0,0.14285714285714285,2,2,2,1.5714285714285714
ESP,Europe,Spain,2020-02-13,2,0,0.14285714285714285,2,2,2,1.7142857142857142
ESP,Europe,Spain,2020-02-14,2,0,0.14285714285714285,2,2,2,1.8571428571428572
ESP,Europe,Spain,2020-02-15,2,0,0.14285714285714285,2,2,1,1.8571428571428572
ESP,Europe,Spain,2020-02-16,2,0,0.0,2,2,1,1.7142857142857142
ESP,Europe,Spain,2020-02-17,2,0,0.0,2,2,1,1.5714285714285714
ESP,Europe,Spain,2020-02-18,2,0,0.0,2,2,1,1.4285714285714286
ESP,Europe,Spain,2020-02-19,2,0,0.0,2,2,1,1.2857142857142858
ESP,Europe,Spain,2020-02-20,2,0,0.0,2,2,1,1.1428571428571428
ESP,Europe,Spain,2020-02-21,2,0,0.0,2,2,1,1.0
ESP,Europe,Spain,2020-02-22,2,0,0.0,2,2,1,1.0
ESP,Europe,Spain,2020-02-23,2,0,0.0,2,2,0,0.8571428571428571
ESP,Europe,Spain,2020-02-24,2,0,0.0,2,2,0,0.7142857142857143
ESP,Europe,Spain,2020-02-25,6,4,0.5714285714285714,6,6,4,1.1428571428571428
ESP,Europe,Spain,2020-02-26,13,7,1.5714285714285714,13,13,11,2.5714285714285716
ESP,Europe,Spain,2020-02-27,15,2,1.8571428571428572,15,15,13,4.285714285714286
ESP,Europe,Spain,2020-02-28,32,17,4.285714285714286,32,32,30,8.428571428571429
ESP,Europe,Spain,2020-02-29,45,13,6.142857142857143,45,45,43,14.428571428571429
ESP,Europe,Spain,2020-03-01,84,39,11.714285714285714,84,84,82,26.142857142857142
ESP,Europe,Spain,2020-03-02,120,36,16.857142857142858,120,120,118,43.0
ESP,Europe,Spain,2020-03-03,165,45,22.714285714285715,165,164,162,65.57142857142857
ESP,Europe,Spain,2020-03-04,222,57,29.857142857142858,222,220,218,95.14285714285714
ESP,Europe,Spain,2020-03-05,259,37,34.857142857142854,259,256,254,129.57142857142858
ESP,Europe,Spain,2020-03-06,400,141,52.57142857142857,400,395,393,181.42857142857142
ESP,Europe,Spain,2020-03-07,500,100,65.0,500,490,488,245.0
ESP,Europe,Spain,2020-03-08,673,173,84.14285714285714,673,656,654,326.7142857142857
ESP,Europe,Spain,2020-03-09,1073,400,136.14285714285714,1073,1045,1043,458.85714285714283
ESP,Europe,Spain,2020-03-10,1695,622,218.57142857142858,1695,1660,1654,672.0
ESP,Europe,Spain,2020-03-11,2277,582,293.57142857142856,2277,2223,2210,956.5714285714286
ESP,Europe,Spain,2020-03-12,2277,0,288.2857142857143,2277,2222,2207,1235.5714285714287
ESP,Europe,Spain,2020-03-13,5232,2955,690.2857142857143,5232,5099,5067,1903.2857142857142
ESP,Europe,Spain,2020-03-14,6391,1159,841.5714285714286,6391,6196,6151,2712.285714285714
ESP,Europe,Spain,2020-03-15,7798,1407,1017.8571428571429,7798,7509,7425,3679.5714285714284
ESP,Europe,Spain,2020-03-16,9942,2144,1267.0,9942,9600,9480,4884.857142857143
ESP,Europe,Spain,2020-03-17,11748,1806,1436.142857142857,11748,11215,11051,6227.285714285715
ESP,Europe,Spain,2020-03-18,13910,2162,1661.857142857143,13910,13287,13067,7778.285714285715
ESP,Europe,Spain,2020-03-19,17963,4053,2240.8571428571427,17963,17133,16877,9874.0
ESP,Europe,Spain,2020-03-20,20410,2447,2168.285714285714,20410,19367,18972,11860.42857142857
ESP,Europe,Spain,2020-03-21,25374,4964,2711.8571428571427,25374,23999,23509,14340.142857142857
ESP,Europe,Spain,2020-03-22,28768,3394,2995.714285714286,28768,26996,26340,17042.285714285714
ESP,Europe,Spain,2020-03-23,35136,6368,3599.1428571428573,35136,32825,31780,20228.0
ESP,Europe,Spain,2020-03-24,39885,4749,4019.5714285714284,39885,37077,35417,23708.85714285714
ESP,Europe,Spain,2020-03-25,49515,9630,5086.428571428572,49515,45868,43645,28077.14285714286
ESP,Europe,Spain,2020-03-26,57786,8271,5689.0,57786,53421,51199,32980.28571428572
ESP,Europe,Spain,2020-03-27,65719,7933,6472.714285714285,65719,60581,55482,38196.0
ESP,Europe,Spain,2020-03-28,73235,7516,6837.285714285715,73235,67253,61057,43560.0
ESP,Europe,Spain,2020-03-29,80110,6875,7334.571428571428,80110,73307,65798,49196.857142857145
ESP,Europe,Spain,2020-03-30,87956,7846,7545.714285714285,87956,80240,70640,54748.28571428572
ESP,Europe,Spain,2020-03-31,95923,7967,8005.428571428572,95923,87459,76244,60580.71428571428
ESP,Europe,Spain,2020-04-01,104118,8195,7800.428571428572,104118,94731,81444,65980.57142857143
ESP,Europe,Spain,2020-04-02,112065,7947,7754.142857142857,112065,101717,84584,70749.85714285714
ESP,Europe,Spain,2020-04-03,119199,7134,7640.0,119199,108001,88634,75485.85714285714
ESP,Europe,Spain,2020-04-04,126168,6969,7561.857142857143,126168,114221,90222,79652.28571428571
ESP,Europe,Spain,2020-04-05,131646,5478,7362.285714285715,131646,119005,92009,83396.71428571429
ESP,Europe,Spain,2020-04-06,136675,5029,6959.857142857143,136675,123334,90509,86235.14285714286
ESP,Europe,Spain,2020-04-07,141942,5267,6574.142857142857,141942,127897,90820,88317.42857142857
ESP,Europe,Spain,2020-04-08,148220,6278,6300.285714285715,148220,133428,87560,89191.14285714286
ESP,Europe,Spain,2020-04-09,153222,5002,5879.571428571428,153222,137775,84354,89158.28571428571
ESP,Europe,Spain,2020-04-10,158273,5051,5582.0,158273,142192,81611,88155.0
ESP,Europe,Spain,2020-04-11,163027,4754,5265.571428571428,163027,146421,79168,86575.85714285714
ESP,Europe,Spain,2020-04-12,166831,3804,5026.428571428572,166831,149622,76315,84333.85714285714
ESP,Europe,Spain,2020-04-13,170099,3268,4774.857142857143,170099,152343,72103,81704.42857142857
ESP,Europe,Spain,2020-04-14,172541,2442,4371.285714285715,172541,154485,67026,78305.28571428571
ESP,Europe,Spain,2020-04-15,177644,5103,4203.428571428572,177644,158936,64205,74968.85714285714
ESP,Europe,Spain,2020-04-16,184948,7304,4532.285714285715,184948,165633,63916,72049.14285714286
ESP,Europe,Spain,2020-04-17,190839,5891,4652.285714285715,190839,170837,62836,69367.0
ESP,Europe,Spain,2020-04-18,191726,887,4099.857142857143,191726,171683,57462,66266.14285714286
ESP,Europe,Spain,2020-04-19,198674,6948,4549.0,198674,178221,59216,63823.42857142857
