ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Mu Smooth,Beta Smooth,Gamma Smooth,Positive Test Rate Smooth,Mobility Rate Smooth
ESP,Europe,Spain,2020-03-21,47317307.57142858,14340.142857142857,247.0,719.2857142857142,0.014039795340392238,0.19353179986696373,0.042237508052353566,0.395,-0.5285714285714286
ESP,Europe,Spain,2020-03-22,47314311.85714286,17042.285714285714,328.7142857142857,931.1428571428572,0.015943384874961268,0.19006097754950504,0.0320334264197005,0.406,-0.5457142857142857
ESP,Europe,Spain,2020-03-23,47310712.71428572,20228.0,460.8571428571428,1212.4285714285713,0.01529925447423688,0.1864088141528808,0.02182934478704744,0.416,-0.5554761904761905
ESP,Europe,Spain,2020-03-24,47306693.14285714,23708.857142857134,674.5714285714286,1537.4285714285709,0.01751998725230702,0.1817815366191864,0.011625263154394385,0.427,-0.5630952380952381
ESP,Europe,Spain,2020-03-25,47301606.71428572,28077.142857142866,960.7142857142856,1969.428571428572,0.017607055558125747,0.1732455039047787,0.0014211815217413206,0.433,-0.5707142857142857
ESP,Europe,Spain,2020-03-26,47295917.71428572,32980.28571428572,1241.5714285714287,2474.428571428572,0.0179609448009022,0.16472806272862114,0.002744835338275173,0.434,-0.5692857142857143
ESP,Europe,Spain,2020-03-27,47289445.0,38196.0,1913.5714285714291,3059.4285714285716,0.017634183081912967,0.15344640577408525,0.012238326210057571,0.427,-0.5730952380952381
ESP,Europe,Spain,2020-03-28,47282607.71428571,43560.0,2728.714285714286,3717.571428571429,0.01714265480677332,0.14287167382607088,0.02438929726371493,0.421,-0.5745238095238095
ESP,Europe,Spain,2020-03-29,47275273.14285714,49196.857142857145,3707.714285714286,4436.285714285715,0.01620160163764044,0.130998036564282,0.038639084967166615,0.414,-0.5752380952380953
ESP,Europe,Spain,2020-03-30,47267727.42857143,54748.28571428573,4929.857142857143,5208.428571428572,0.015480192345130424,0.1205168637324661,0.05799722096602435,0.403,-0.5811904761904761
ESP,Europe,Spain,2020-03-31,47259722.0,60580.714285714275,6294.857142857143,6016.428571428572,0.013825432604880505,0.10909314032012588,0.08150091393828965,0.385,-0.5864285714285715
ESP,Europe,Spain,2020-04-01,47251921.57142858,65980.57142857142,7875.428571428572,6836.428571428572,0.013160948023514972,0.10039733698451192,0.10848859007691113,0.364,-0.5904761904761905
ESP,Europe,Spain,2020-04-02,47244167.42857143,70749.85714285714,10005.57142857143,7691.142857142857,0.0124396952730166,0.09301128203715844,0.10907680893299156,0.344,-0.5938095238095239
ESP,Europe,Spain,2020-04-03,47236527.42857143,75485.85714285714,12043.857142857143,8556.857142857143,0.01147374397043356,0.08609703605904738,0.1014951907338235,0.327,-0.5952380952380952
ESP,Europe,Spain,2020-04-04,47228965.57142858,79652.28571428571,14587.142857142857,9409.0,0.010651699041354871,0.07966841521899015,0.10119708178967927,0.311,-0.5952380952380952
ESP,Europe,Spain,2020-04-05,47221603.28571428,83396.71428571429,17371.0,10243.0,0.009756291855634713,0.07374000165394648,0.10867910013095117,0.3,-0.5966666666666667
ESP,Europe,Spain,2020-04-06,47214643.42857143,86235.14285714286,20688.85714285714,11046.571428571433,0.009354767645173862,0.06903064482443592,0.1066354713710023,0.287,-0.5947619047619047
