country_region_code,country_region,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,average_perc,average_rate
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-15,2.0,-1.0,26.0,8.0,0.0,-2.0,5.5,0.055
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-16,2.0,3.0,13.0,5.0,-1.0,-2.0,3.3333333333333335,0.03333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-17,0.0,1.0,9.0,3.0,3.0,-1.0,2.5,0.025
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-18,-2.0,0.0,5.0,4.0,3.0,0.0,1.6666666666666667,0.016666666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-19,0.0,1.0,11.0,2.0,3.0,-1.0,2.6666666666666665,0.026666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-20,1.0,1.0,15.0,5.0,3.0,-1.0,4.0,0.04
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-21,1.0,2.0,20.0,6.0,2.0,-2.0,4.833333333333333,0.04833333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-22,2.0,2.0,44.0,14.0,2.0,-2.0,10.333333333333334,0.10333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-23,7.0,10.0,33.0,11.0,1.0,-3.0,9.833333333333334,0.09833333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-24,5.0,3.0,36.0,4.0,-7.0,0.0,6.833333333333333,0.06833333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-25,-2.0,-1.0,17.0,3.0,-6.0,1.0,2.0,0.02
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-26,0.0,4.0,11.0,1.0,0.0,0.0,2.6666666666666665,0.026666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-27,4.0,8.0,16.0,6.0,1.0,-2.0,5.5,0.055
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-28,-1.0,-7.0,33.0,2.0,-11.0,0.0,2.6666666666666665,0.026666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-02-29,-1.0,4.0,19.0,6.0,-1.0,-1.0,4.333333333333333,0.04333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-01,2.0,6.0,6.0,5.0,1.0,-2.0,3.0,0.03
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-02,-3.0,1.0,-7.0,-3.0,-3.0,1.0,-2.3333333333333335,-0.023333333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-03,-3.0,3.0,-3.0,1.0,3.0,0.0,0.16666666666666666,0.0016666666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-04,0.0,4.0,9.0,2.0,3.0,0.0,3.0,0.03
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-05,-1.0,2.0,2.0,0.0,2.0,0.0,0.8333333333333334,0.008333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-06,-2.0,2.0,0.0,0.0,-1.0,0.0,-0.16666666666666666,-0.0016666666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-07,-1.0,1.0,17.0,4.0,1.0,-1.0,3.5,0.035
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-08,4.0,7.0,19.0,8.0,1.0,-2.0,6.166666666666667,0.06166666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-09,-1.0,4.0,12.0,0.0,3.0,-1.0,2.8333333333333335,0.028333333333333335
