ISO_code,Continent,Country/Region,Date,Total Deaths,New Deaths,New Deaths Smooth (7 days),Total Deaths Fixed (sum New Deaths),Total Deaths Fixed Smooth (7 days)
ESP,Europe,Spain,2020-01-28,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-01-29,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-01-30,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-01-31,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-01,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-02,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-03,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-04,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-05,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-06,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-07,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-08,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-09,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-10,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-11,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-12,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-13,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-14,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-15,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-16,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-17,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-18,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-19,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-20,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-21,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-22,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-23,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-24,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-25,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-26,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-27,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-28,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-02-29,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-03-01,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-03-02,0,0,0.0,0,0.0
ESP,Europe,Spain,2020-03-03,1,1,0.14285714285714285,1,0.14285714285714285
ESP,Europe,Spain,2020-03-04,2,1,0.2857142857142857,2,0.42857142857142855
ESP,Europe,Spain,2020-03-05,3,1,0.42857142857142855,3,0.8571428571428571
ESP,Europe,Spain,2020-03-06,5,2,0.7142857142857143,5,1.5714285714285714
ESP,Europe,Spain,2020-03-07,10,5,1.4285714285714286,10,3.0
ESP,Europe,Spain,2020-03-08,17,7,2.4285714285714284,17,5.428571428571429
ESP,Europe,Spain,2020-03-09,28,11,4.0,28,9.428571428571429
ESP,Europe,Spain,2020-03-10,35,7,4.857142857142857,35,14.285714285714286
ESP,Europe,Spain,2020-03-11,54,19,7.428571428571429,54,21.714285714285715
ESP,Europe,Spain,2020-03-12,55,1,7.428571428571429,55,29.142857142857142
ESP,Europe,Spain,2020-03-13,133,78,18.285714285714285,133,47.42857142857143
ESP,Europe,Spain,2020-03-14,195,62,26.428571428571427,195,73.85714285714286
ESP,Europe,Spain,2020-03-15,289,94,38.857142857142854,289,112.71428571428571
ESP,Europe,Spain,2020-03-16,342,53,44.857142857142854,342,157.57142857142858
ESP,Europe,Spain,2020-03-17,533,191,71.14285714285714,533,228.71428571428572
ESP,Europe,Spain,2020-03-18,623,90,81.28571428571429,623,310.0
ESP,Europe,Spain,2020-03-19,830,207,110.71428571428571,830,420.7142857142857
ESP,Europe,Spain,2020-03-20,1043,213,130.0,1043,550.7142857142857
ESP,Europe,Spain,2020-03-21,1375,332,168.57142857142858,1375,719.2857142857143
ESP,Europe,Spain,2020-03-22,1772,397,211.85714285714286,1772,931.1428571428571
ESP,Europe,Spain,2020-03-23,2311,539,281.2857142857143,2311,1212.4285714285713
ESP,Europe,Spain,2020-03-24,2808,497,325.0,2808,1537.4285714285713
ESP,Europe,Spain,2020-03-25,3647,839,432.0,3647,1969.4285714285713
ESP,Europe,Spain,2020-03-26,4365,718,505.0,4365,2474.4285714285716
ESP,Europe,Spain,2020-03-27,5138,773,585.0,5138,3059.4285714285716
ESP,Europe,Spain,2020-03-28,5982,844,658.1428571428571,5982,3717.5714285714284
ESP,Europe,Spain,2020-03-29,6803,821,718.7142857142857,6803,4436.285714285715
ESP,Europe,Spain,2020-03-30,7716,913,772.1428571428571,7716,5208.428571428572
