ISO_code,Continent,Country/Region,Date,Total Recovered,Total Recovered Smooth (7 days)
ESP,Europe,Spain,2020-01-28,0,0.0
ESP,Europe,Spain,2020-01-29,0,0.0
ESP,Europe,Spain,2020-01-30,0,0.0
ESP,Europe,Spain,2020-01-31,0,0.0
ESP,Europe,Spain,2020-02-01,0,0.0
ESP,Europe,Spain,2020-02-02,0,0.0
ESP,Europe,Spain,2020-02-03,0,0.0
ESP,Europe,Spain,2020-02-04,0,0.0
ESP,Europe,Spain,2020-02-05,0,0.0
ESP,Europe,Spain,2020-02-06,0,0.0
ESP,Europe,Spain,2020-02-07,0,0.0
ESP,Europe,Spain,2020-02-08,0,0.0
ESP,Europe,Spain,2020-02-09,0,0.0
ESP,Europe,Spain,2020-02-10,0,0.0
ESP,Europe,Spain,2020-02-11,0,0.0
ESP,Europe,Spain,2020-02-12,0,0.0
ESP,Europe,Spain,2020-02-13,0,0.0
ESP,Europe,Spain,2020-02-14,0,0.0
ESP,Europe,Spain,2020-02-15,1,0.14285714285714285
ESP,Europe,Spain,2020-02-16,1,0.2857142857142857
ESP,Europe,Spain,2020-02-17,1,0.42857142857142855
ESP,Europe,Spain,2020-02-18,1,0.5714285714285714
ESP,Europe,Spain,2020-02-19,1,0.7142857142857143
ESP,Europe,Spain,2020-02-20,1,0.8571428571428571
ESP,Europe,Spain,2020-02-21,1,1.0
ESP,Europe,Spain,2020-02-22,1,1.0
ESP,Europe,Spain,2020-02-23,2,1.1428571428571428
ESP,Europe,Spain,2020-02-24,2,1.2857142857142858
ESP,Europe,Spain,2020-02-25,2,1.4285714285714286
ESP,Europe,Spain,2020-02-26,2,1.5714285714285714
ESP,Europe,Spain,2020-02-27,2,1.7142857142857142
ESP,Europe,Spain,2020-02-28,2,1.8571428571428572
ESP,Europe,Spain,2020-02-29,2,2.0
ESP,Europe,Spain,2020-03-01,2,2.0
ESP,Europe,Spain,2020-03-02,2,2.0
ESP,Europe,Spain,2020-03-03,2,2.0
ESP,Europe,Spain,2020-03-04,2,2.0
ESP,Europe,Spain,2020-03-05,2,2.0
ESP,Europe,Spain,2020-03-06,2,2.0
ESP,Europe,Spain,2020-03-07,2,2.0
ESP,Europe,Spain,2020-03-08,2,2.0
ESP,Europe,Spain,2020-03-09,2,2.0
ESP,Europe,Spain,2020-03-10,6,2.5714285714285716
ESP,Europe,Spain,2020-03-11,13,4.142857142857143
ESP,Europe,Spain,2020-03-12,15,6.0
ESP,Europe,Spain,2020-03-13,32,10.285714285714286
ESP,Europe,Spain,2020-03-14,45,16.428571428571427
ESP,Europe,Spain,2020-03-15,84,28.142857142857142
ESP,Europe,Spain,2020-03-16,120,45.0
ESP,Europe,Spain,2020-03-17,164,67.57142857142857
ESP,Europe,Spain,2020-03-18,220,97.14285714285714
ESP,Europe,Spain,2020-03-19,256,131.57142857142858
ESP,Europe,Spain,2020-03-20,395,183.42857142857142
ESP,Europe,Spain,2020-03-21,490,247.0
ESP,Europe,Spain,2020-03-22,656,328.7142857142857
ESP,Europe,Spain,2020-03-23,1045,460.85714285714283
ESP,Europe,Spain,2020-03-24,1660,674.5714285714286
ESP,Europe,Spain,2020-03-25,2223,960.7142857142857
ESP,Europe,Spain,2020-03-26,2222,1241.5714285714287
ESP,Europe,Spain,2020-03-27,5099,1913.5714285714287
ESP,Europe,Spain,2020-03-28,6196,2728.714285714286
ESP,Europe,Spain,2020-03-29,7509,3707.714285714286
ESP,Europe,Spain,2020-03-30,9600,4929.857142857143
ESP,Europe,Spain,2020-03-31,11215,6294.857142857143
ESP,Europe,Spain,2020-04-01,13287,7875.428571428572
ESP,Europe,Spain,2020-04-02,17133,10005.57142857143
ESP,Europe,Spain,2020-04-03,19367,12043.857142857143
ESP,Europe,Spain,2020-04-04,23999,14587.142857142857
ESP,Europe,Spain,2020-04-05,26996,17371.0
