ISO_code,Continent,Country/Region,Date,Susceptibles Raw (S),Infected Raw (I),Recovered Raw (R),Deaths Raw (D),Total Population (N),Total Population Without Deahts (N Alive)
ESP,Europe,Spain,2020-01-28,47332614,0,0,0,47332614,47332614
ESP,Europe,Spain,2020-01-29,47332614,0,0,0,47332614,47332614
ESP,Europe,Spain,2020-01-30,47332614,0,0,0,47332614,47332614
ESP,Europe,Spain,2020-01-31,47332614,0,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-01,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-02,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-03,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-04,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-05,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-06,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-07,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-08,47332613,1,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-09,47332612,2,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-10,47332612,2,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-11,47332612,2,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-12,47332612,2,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-13,47332612,2,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-14,47332612,2,0,0,47332614,47332614
ESP,Europe,Spain,2020-02-15,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-16,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-17,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-18,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-19,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-20,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-21,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-22,47332612,1,1,0,47332614,47332614
ESP,Europe,Spain,2020-02-23,47332612,0,2,0,47332614,47332614
ESP,Europe,Spain,2020-02-24,47332612,0,2,0,47332614,47332614
ESP,Europe,Spain,2020-02-25,47332608,4,2,0,47332614,47332614
ESP,Europe,Spain,2020-02-26,47332601,11,2,0,47332614,47332614
ESP,Europe,Spain,2020-02-27,47332599,13,2,0,47332614,47332614
ESP,Europe,Spain,2020-02-28,47332582,30,2,0,47332614,47332614
ESP,Europe,Spain,2020-02-29,47332569,43,2,0,47332614,47332614
ESP,Europe,Spain,2020-03-01,47332530,82,2,0,47332614,47332614
ESP,Europe,Spain,2020-03-02,47332494,118,2,0,47332614,47332614
ESP,Europe,Spain,2020-03-03,47332449,162,2,1,47332614,47332613
ESP,Europe,Spain,2020-03-04,47332392,218,2,2,47332614,47332612
ESP,Europe,Spain,2020-03-05,47332355,254,2,3,47332614,47332611
ESP,Europe,Spain,2020-03-06,47332214,393,2,5,47332614,47332609
ESP,Europe,Spain,2020-03-07,47332114,488,2,10,47332614,47332604
ESP,Europe,Spain,2020-03-08,47331941,654,2,17,47332614,47332597
ESP,Europe,Spain,2020-03-09,47331541,1043,2,28,47332614,47332586
ESP,Europe,Spain,2020-03-10,47330919,1654,6,35,47332614,47332579
ESP,Europe,Spain,2020-03-11,47330337,2210,13,54,47332614,47332560
ESP,Europe,Spain,2020-03-12,47330337,2207,15,55,47332614,47332559
ESP,Europe,Spain,2020-03-13,47327382,5067,32,133,47332614,47332481
ESP,Europe,Spain,2020-03-14,47326223,6151,45,195,47332614,47332419
ESP,Europe,Spain,2020-03-15,47324816,7425,84,289,47332614,47332325
ESP,Europe,Spain,2020-03-16,47322672,9480,120,342,47332614,47332272
ESP,Europe,Spain,2020-03-17,47320866,11051,164,533,47332614,47332081
ESP,Europe,Spain,2020-03-18,47318704,13067,220,623,47332614,47331991
ESP,Europe,Spain,2020-03-19,47314651,16877,256,830,47332614,47331784
ESP,Europe,Spain,2020-03-20,47312204,18972,395,1043,47332614,47331571
ESP,Europe,Spain,2020-03-21,47307240,23509,490,1375,47332614,47331239
ESP,Europe,Spain,2020-03-22,47303846,26340,656,1772,47332614,47330842
ESP,Europe,Spain,2020-03-23,47297478,31780,1045,2311,47332614,47330303
ESP,Europe,Spain,2020-03-24,47292729,35417,1660,2808,47332614,47329806
ESP,Europe,Spain,2020-03-25,47283099,43645,2223,3647,47332614,47328967
ESP,Europe,Spain,2020-03-26,47274828,51199,2222,4365,47332614,47328249
ESP,Europe,Spain,2020-03-27,47266895,55482,5099,5138,47332614,47327476
ESP,Europe,Spain,2020-03-28,47259379,61057,6196,5982,47332614,47326632
