ISO_code,Continent,Country/Region,Date,Total Susceptibles,Susceptibles Smooth (7 days average)
ESP,Europe,Spain,2020-01-28,47332614,47332614.0
ESP,Europe,Spain,2020-01-29,47332614,47332614.0
ESP,Europe,Spain,2020-01-30,47332614,47332614.0
ESP,Europe,Spain,2020-01-31,47332614,47332614.0
ESP,Europe,Spain,2020-02-01,47332613,47332613.85714286
ESP,Europe,Spain,2020-02-02,47332613,47332613.71428572
ESP,Europe,Spain,2020-02-03,47332613,47332613.571428575
ESP,Europe,Spain,2020-02-04,47332613,47332613.428571425
ESP,Europe,Spain,2020-02-05,47332613,47332613.28571428
ESP,Europe,Spain,2020-02-06,47332613,47332613.14285714
ESP,Europe,Spain,2020-02-07,47332613,47332613.0
ESP,Europe,Spain,2020-02-08,47332613,47332613.0
ESP,Europe,Spain,2020-02-09,47332612,47332612.85714286
ESP,Europe,Spain,2020-02-10,47332612,47332612.71428572
ESP,Europe,Spain,2020-02-11,47332612,47332612.571428575
ESP,Europe,Spain,2020-02-12,47332612,47332612.428571425
ESP,Europe,Spain,2020-02-13,47332612,47332612.28571428
ESP,Europe,Spain,2020-02-14,47332612,47332612.14285714
ESP,Europe,Spain,2020-02-15,47332612,47332612.0
ESP,Europe,Spain,2020-02-16,47332612,47332612.0
ESP,Europe,Spain,2020-02-17,47332612,47332612.0
ESP,Europe,Spain,2020-02-18,47332612,47332612.0
ESP,Europe,Spain,2020-02-19,47332612,47332612.0
ESP,Europe,Spain,2020-02-20,47332612,47332612.0
ESP,Europe,Spain,2020-02-21,47332612,47332612.0
ESP,Europe,Spain,2020-02-22,47332612,47332612.0
ESP,Europe,Spain,2020-02-23,47332612,47332612.0
ESP,Europe,Spain,2020-02-24,47332612,47332612.0
ESP,Europe,Spain,2020-02-25,47332608,47332611.42857143
ESP,Europe,Spain,2020-02-26,47332601,47332609.85714285
ESP,Europe,Spain,2020-02-27,47332599,47332608.0
ESP,Europe,Spain,2020-02-28,47332582,47332603.71428572
ESP,Europe,Spain,2020-02-29,47332569,47332597.571428575
ESP,Europe,Spain,2020-03-01,47332530,47332585.85714286
ESP,Europe,Spain,2020-03-02,47332494,47332569.0
ESP,Europe,Spain,2020-03-03,47332449,47332546.28571428
ESP,Europe,Spain,2020-03-04,47332392,47332516.42857143
ESP,Europe,Spain,2020-03-05,47332355,47332481.57142857
ESP,Europe,Spain,2020-03-06,47332214,47332429.0
ESP,Europe,Spain,2020-03-07,47332114,47332364.0
ESP,Europe,Spain,2020-03-08,47331941,47332279.85714286
ESP,Europe,Spain,2020-03-09,47331541,47332143.71428572
ESP,Europe,Spain,2020-03-10,47330919,47331925.14285714
ESP,Europe,Spain,2020-03-11,47330337,47331631.57142857
ESP,Europe,Spain,2020-03-12,47330337,47331343.28571428
ESP,Europe,Spain,2020-03-13,47327382,47330653.00000001
ESP,Europe,Spain,2020-03-14,47326223,47329811.42857143
ESP,Europe,Spain,2020-03-15,47324816,47328793.57142857
ESP,Europe,Spain,2020-03-16,47322672,47327526.57142857
ESP,Europe,Spain,2020-03-17,47320866,47326090.428571425
ESP,Europe,Spain,2020-03-18,47318704,47324428.571428575
ESP,Europe,Spain,2020-03-19,47314651,47322187.71428571
ESP,Europe,Spain,2020-03-20,47312204,47320019.42857143
ESP,Europe,Spain,2020-03-21,47307240,47317307.571428575
ESP,Europe,Spain,2020-03-22,47303846,47314311.85714286
ESP,Europe,Spain,2020-03-23,47297478,47310712.71428572
ESP,Europe,Spain,2020-03-24,47292729,47306693.14285714
ESP,Europe,Spain,2020-03-25,47283099,47301606.71428572
ESP,Europe,Spain,2020-03-26,47274828,47295917.71428572
ESP,Europe,Spain,2020-03-27,47266895,47289445.0
ESP,Europe,Spain,2020-03-28,47259379,47282607.71428571
